symbol,asset_type,source,score,signal,confidence,strategy,price,return_5_pct,return_20_pct,atr_pct,rsi_14,avg_dollar_volume,volume_ratio,last_bar,reason,rank,asset_label,selected
6758.T,stock,global_stocks,87.63,long,0.8539,"ensemble[trend, momentum]",3912.0,7.8875,15.4323,3.8197,68.58,77089656840.0,1.2115,2026-08-14T00:00:00,"SMA20 über SMA50, MACD und Volumen bestätigen. | 20-Perioden-Momentum 15.4%, RSI 68.6.",1,Aktie,True
MSFT,stock,user_symbols,73.64,hold,0.0,ensemble,496.95001221,-0.608,26.1871,3.3744,72.39,18395698538.52,0.0416,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",2,Aktie,True
SAP,stock,fallback_stocks,72.65,hold,0.0,ensemble,209.91000366,1.819,31.9857,3.3633,72.94,705032852.82,0.1429,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",3,Aktie,True
ZS,stock,screener:growth_technology_stocks,72.5,hold,0.0,ensemble,188.20500183,11.5752,25.5202,4.1426,77.06,391035602.56,0.137,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",4,Aktie,True
PLTR,stock,screener:growth_technology_stocks,72.33,hold,0.0,ensemble,178.75,3.9184,35.0279,5.203,72.82,8208934492.69,0.0763,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",5,Aktie,True
NET,stock,screener:growth_technology_stocks,71.48,hold,0.0,ensemble,328.49499512,9.3999,18.3084,5.6026,71.77,1287967857.91,0.0774,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",6,Aktie,True
SHOP,stock,fallback_stocks,70.9,hold,0.0,ensemble,157.11999512,3.6617,27.1609,4.8971,70.34,1800160063.06,0.0397,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",7,Aktie,True
BCH-EUR,crypto,major_crypto,70.55,short,0.7359,"ensemble[trend, momentum, breakout]",175.38999939,-5.5246,-4.8105,2.6834,33.67,15040824756.73,1.7435,2026-08-14T00:00:00,"SMA20 unter SMA50, MACD und Volumen bestätigen. | Negatives Momentum -4.8%, RSI 33.7. | Abwärtsausbruch mit Volumenfaktor 1.74.",8,Krypto,False
ORCL,stock,fallback_stocks,69.41,hold,0.0,ensemble,155.22000122,5.5775,22.7909,4.6584,60.09,4835882583.92,0.0509,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",9,Aktie,True
GWRE,stock,screener:growth_technology_stocks,67.11,hold,0.0,ensemble,179.69500732,5.3744,19.7807,4.8364,68.59,201036260.25,0.0287,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",10,Aktie,True
ORKA,stock,screener:day_losers,66.15,hold,0.0,ensemble,106.83499908,8.1107,15.2481,5.1207,68.51,79310227.57,0.0751,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",11,Aktie,True
CRM,stock,fallback_stocks,66.0,hold,0.0,ensemble,197.88000488,2.6668,15.8752,4.1905,62.72,2403018725.56,0.0806,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",12,Aktie,True
USAR,stock,screener:day_gainers,63.36,hold,0.0,ensemble,19.84000015,2.6384,26.7732,7.0493,60.0,227073618.9,0.2227,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",13,Aktie,True
IONQ,stock,screener:growth_technology_stocks,63.3,hold,0.0,ensemble,45.97499847,3.4774,32.188,6.4686,56.97,939548070.98,0.1138,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",14,Aktie,True
INTC,stock,screener:most_actives,62.86,hold,0.0,ensemble,105.41999817,3.7088,10.9217,6.3067,53.01,12126009410.18,0.0886,2026-08-14T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",15,Aktie,True
