symbol,asset_type,source,score,signal,confidence,strategy,price,return_5_pct,return_20_pct,atr_pct,rsi_14,avg_dollar_volume,volume_ratio,last_bar,reason,rank,asset_label,selected
MRNA,stock,screener:most_actives,89.78,long,0.855,"ensemble[trend, momentum]",180.51499939,25.5582,29.9698,6.2855,71.72,3240178946.77,0.9411,2026-09-22T00:00:00,"SMA20 über SMA50, MACD und Volumen bestätigen. | 20-Perioden-Momentum 30.0%, RSI 71.7.",2,Aktie,True
TWLO,stock,screener:day_gainers,83.33,long,0.7359,"ensemble[trend, breakout]",282.30999756,16.5799,26.8296,4.303,73.5,530288967.97,1.1658,2026-09-22T00:00:00,"SMA20 über SMA50, MACD und Volumen bestätigen. | Aufwärtsausbruch mit Volumenfaktor 1.17.",3,Aktie,True
ECO,stock,screener:day_losers,82.73,long,0.855,"ensemble[trend, momentum]",78.16000366,-5.524,19.9877,4.3413,61.55,56097361.27,1.7207,2026-09-22T00:00:00,"SMA20 über SMA50, MACD und Volumen bestätigen. | 20-Perioden-Momentum 20.0%, RSI 61.5.",4,Aktie,True
NVO,stock,fallback_stocks,80.19,short,0.7795,"ensemble[trend, momentum, breakout]",39.47499847,-7.1832,-15.8674,3.4624,31.32,479050344.03,1.2218,2026-09-22T00:00:00,"SMA20 unter SMA50, MACD und Volumen bestätigen. | Negatives Momentum -15.9%, RSI 31.3. | Abwärtsausbruch mit Volumenfaktor 1.22.",6,Aktie,True
RXRX,stock,screener:most_actives,78.97,long,0.855,"ensemble[trend, momentum]",4.05019999,25.0062,24.6215,5.4555,66.24,72708919.79,1.0785,2026-09-22T00:00:00,"SMA20 über SMA50, MACD und Volumen bestätigen. | 20-Perioden-Momentum 24.6%, RSI 66.2.",7,Aktie,True
MC.PA,stock,global_stocks,78.64,short,0.8123,"ensemble[trend, momentum]",401.95001221,-1.1071,-10.8165,2.5163,32.51,237015150.54,1.1472,2026-09-22T00:00:00,"SMA20 unter SMA50, MACD und Volumen bestätigen. | Negatives Momentum -10.8%, RSI 32.5.",8,Aktie,True
VICR,stock,screener:day_gainers,76.7,long,0.7484,"ensemble[momentum, breakout]",256.45999146,39.4032,34.986,6.2123,65.85,197285310.64,1.2905,2026-09-22T00:00:00,"20-Perioden-Momentum 35.0%, RSI 65.9. | Aufwärtsausbruch mit Volumenfaktor 1.29.",9,Aktie,True
VKTX,stock,screener:most_actives,72.8,long,0.87,"ensemble[momentum, breakout]",40.36259842,34.7666,21.4643,5.4079,71.0,146759249.41,8.7431,2026-09-22T00:00:00,"20-Perioden-Momentum 21.5%, RSI 71.0. | Aufwärtsausbruch mit Volumenfaktor 8.74.",10,Aktie,True
PYPL,stock,fallback_stocks,72.27,short,0.839,"ensemble[trend, momentum]",53.04999924,-1.4124,-13.7791,3.1213,42.34,714715045.76,1.1359,2026-09-22T00:00:00,"SMA20 unter SMA50, MACD und Volumen bestätigen. | Negatives Momentum -13.8%, RSI 42.3.",11,Aktie,True
PLNT,stock,screener:day_losers,72.17,short,0.7661,"ensemble[trend, breakout]",42.64500046,-16.0697,-20.8225,4.6587,23.68,80088287.43,1.6688,2026-09-22T00:00:00,"SMA20 unter SMA50, MACD und Volumen bestätigen. | Abwärtsausbruch mit Volumenfaktor 1.67.",12,Aktie,True
